dataset_id,dataset_name,sample_code,village,latitude,longitude,sampling_depth_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,sampling_year,source
H1,PADERU_82_SAMPLES,S1,Donela,18.132,82.547,0-30,5.0,0.24,91,24,113,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S2,Vurugonda,18.138,82.563,0-30,5.3,0.27,81,24,142,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S3,Vurugonda,18.132,82.548,0-30,5.3,0.18,81,29,160,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S4,Donela,18.127,82.545,0-30,5.5,0.55,81,34,149,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S5,Gondili,18.095,82.590,0-30,5.9,0.18,107,29,105,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S6,Gondili,18.096,82.586,0-30,5.5,0.17,102,24,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S7,Gondili,18.122,82.542,0-30,5.6,0.21,97,38,69,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S8,Thumpada,18.084,82.685,0-30,6.1,0.37,76,144,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S9,Thumpada,18.088,82.684,0-30,6.0,0.17,76,101,50,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S10,Thumpada,18.077,82.690,0-30,5.8,0.20,107,53,51,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
