dataset_id,dataset_name,mandal,site_no,latitude,longitude,stage,date_start,date_end,depth_top_cm,depth_bottom_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_carbon_g_kg,source
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,1,18.0749,82.668,before,2018-05-07,2018-05-13,0,15,6.3,0.57,196.2,14.6,142.1,4.1,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,1,18.0749,82.668,during,2018-08-11,2018-08-16,0,15,6.3,0.58,188.3,16.3,143.8,4.1,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,1,18.0749,82.668,after,2018-11-06,2018-11-11,0,15,6.2,0.52,169.3,12.1,135.3,4.0,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,2,18.0733,82.6676,before,2018-05-07,2018-05-13,0,15,6.1,0.54,181.4,13.2,189.6,3.8,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,2,18.0733,82.6676,during,2018-08-11,2018-08-16,0,15,6.1,0.57,169.8,14.1,178.9,3.9,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,2,18.0733,82.6676,after,2018-11-06,2018-11-11,0,15,6.1,0.54,160.5,14.8,162.5,3.8,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,3,18.066,82.6683,before,2018-05-07,2018-05-13,0,15,6.6,0.2,208.6,16.0,192.8,4.6,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,3,18.066,82.6683,during,2018-08-11,2018-08-16,0,15,6.4,0.22,202.4,16.9,195.3,4.6,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,3,18.066,82.6683,after,2018-11-06,2018-11-11,0,15,6.3,0.21,190.6,11.9,179.1,4.4,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,4,18.0658,82.6716,before,2018-05-07,2018-05-13,0,15,6.1,0.1,196.4,14.9,169.3,4.2,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,4,18.0658,82.6716,during,2018-08-11,2018-08-16,0,15,6.2,0.1,190.8,14.5,174.1,4.2,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,4,18.0658,82.6716,after,2018-11-06,2018-11-11,0,15,6.2,0.1,178.4,12.3,151.2,4.0,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,5,18.0659,82.6669,before,2018-05-07,2018-05-13,0,15,6.0,0.12,181.3,12.3,162.4,4.1,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Paderu,5,18.0659,82.6669,during,2018-08-11,2018-08-16,0,15,6.0,0.13,175.3,12.9,167,4.1,Patra et al. (2020)
